 ,market_open,market_close
2023-03-28,2023-03-28 13:30:00+00:00,2023-03-28 20:00:00+00:00
2023-03-29,2023-03-29 13:30:00+00:00,2023-03-29 20:00:00+00:00
2023-03-30,2023-03-30 13:30:00+00:00,2023-03-30 20:00:00+00:00
2023-03-31,2023-03-31 13:30:00+00:00,2023-03-31 20:00:00+00:00
2023-04-03,2023-04-03 13:30:00+00:00,2023-04-03 20:00:00+00:00
2023-04-04,2023-04-04 13:30:00+00:00,2023-04-04 20:00:00+00:00
2023-04-05,2023-04-05 13:30:00+00:00,2023-04-05 20:00:00+00:00
2023-04-06,2023-04-06 13:30:00+00:00,2023-04-06 20:00:00+00:00
2023-04-10,2023-04-10 13:30:00+00:00,2023-04-10 20:00:00+00:00
2023-04-11,2023-04-11 13:30:00+00:00,2023-04-11 20:00:00+00:00
2023-04-12,2023-04-12 13:30:00+00:00,2023-04-12 20:00:00+00:00
2023-04-13,2023-04-13 13:30:00+00:00,2023-04-13 20:00:00+00:00
2023-04-14,2023-04-14 13:30:00+00:00,2023-04-14 20:00:00+00:00
2023-04-17,2023-04-17 13:30:00+00:00,2023-04-17 20:00:00+00:00
2023-04-18,2023-04-18 13:30:00+00:00,2023-04-18 20:00:00+00:00
2023-04-19,2023-04-19 13:30:00+00:00,2023-04-19 20:00:00+00:00
2023-04-20,2023-04-20 13:30:00+00:00,2023-04-20 20:00:00+00:00
2023-04-21,2023-04-21 13:30:00+00:00,2023-04-21 20:00:00+00:00
2023-04-24,2023-04-24 13:30:00+00:00,2023-04-24 20:00:00+00:00
2023-04-25,2023-04-25 13:30:00+00:00,2023-04-25 20:00:00+00:00
2023-04-26,2023-04-26 13:30:00+00:00,2023-04-26 20:00:00+00:00
2023-04-27,2023-04-27 13:30:00+00:00,2023-04-27 20:00:00+00:00
2023-04-28,2023-04-28 13:30:00+00:00,2023-04-28 20:00:00+00:00
2023-05-01,2023-05-01 13:30:00+00:00,2023-05-01 20:00:00+00:00
2023-05-02,2023-05-02 13:30:00+00:00,2023-05-02 20:00:00+00:00
2023-05-03,2023-05-03 13:30:00+00:00,2023-05-03 20:00:00+00:00
2023-05-04,2023-05-04 13:30:00+00:00,2023-05-04 20:00:00+00:00
2023-05-05,2023-05-05 13:30:00+00:00,2023-05-05 20:00:00+00:00
2023-05-08,2023-05-08 13:30:00+00:00,2023-05-08 20:00:00+00:00
2023-05-09,2023-05-09 13:30:00+00:00,2023-05-09 20:00:00+00:00
2023-05-10,2023-05-10 13:30:00+00:00,2023-05-10 20:00:00+00:00
2023-05-11,2023-05-11 13:30:00+00:00,2023-05-11 20:00:00+00:00
2023-05-12,2023-05-12 13:30:00+00:00,2023-05-12 20:00:00+00:00
2023-05-15,2023-05-15 13:30:00+00:00,2023-05-15 20:00:00+00:00
2023-05-16,2023-05-16 13:30:00+00:00,2023-05-16 20:00:00+00:00
2023-05-17,2023-05-17 13:30:00+00:00,2023-05-17 20:00:00+00:00
2023-05-18,2023-05-18 13:30:00+00:00,2023-05-18 20:00:00+00:00
2023-05-19,2023-05-19 13:30:00+00:00,2023-05-19 20:00:00+00:00
2023-05-22,2023-05-22 13:30:00+00:00,2023-05-22 20:00:00+00:00
2023-05-23,2023-05-23 13:30:00+00:00,2023-05-23 20:00:00+00:00
2023-05-24,2023-05-24 13:30:00+00:00,2023-05-24 20:00:00+00:00
2023-05-25,2023-05-25 13:30:00+00:00,2023-05-25 20:00:00+00:00
2023-05-26,2023-05-26 13:30:00+00:00,2023-05-26 20:00:00+00:00
2023-05-30,2023-05-30 13:30:00+00:00,2023-05-30 20:00:00+00:00
2023-05-31,2023-05-31 13:30:00+00:00,2023-05-31 20:00:00+00:00
2023-06-01,2023-06-01 13:30:00+00:00,2023-06-01 20:00:00+00:00
2023-06-02,2023-06-02 13:30:00+00:00,2023-06-02 20:00:00+00:00
2023-06-05,2023-06-05 13:30:00+00:00,2023-06-05 20:00:00+00:00
2023-06-06,2023-06-06 13:30:00+00:00,2023-06-06 20:00:00+00:00
2023-06-07,2023-06-07 13:30:00+00:00,2023-06-07 20:00:00+00:00
2023-06-08,2023-06-08 13:30:00+00:00,2023-06-08 20:00:00+00:00
2023-06-09,2023-06-09 13:30:00+00:00,2023-06-09 20:00:00+00:00
2023-06-12,2023-06-12 13:30:00+00:00,2023-06-12 20:00:00+00:00
2023-06-13,2023-06-13 13:30:00+00:00,2023-06-13 20:00:00+00:00
2023-06-14,2023-06-14 13:30:00+00:00,2023-06-14 20:00:00+00:00
2023-06-15,2023-06-15 13:30:00+00:00,2023-06-15 20:00:00+00:00
2023-06-16,2023-06-16 13:30:00+00:00,2023-06-16 20:00:00+00:00
2023-06-20,2023-06-20 13:30:00+00:00,2023-06-20 20:00:00+00:00
2023-06-21,2023-06-21 13:30:00+00:00,2023-06-21 20:00:00+00:00
2023-06-22,2023-06-22 13:30:00+00:00,2023-06-22 20:00:00+00:00
2023-06-23,2023-06-23 13:30:00+00:00,2023-06-23 20:00:00+00:00
2023-06-26,2023-06-26 13:30:00+00:00,2023-06-26 20:00:00+00:00
2023-06-27,2023-06-27 13:30:00+00:00,2023-06-27 20:00:00+00:00
2023-06-28,2023-06-28 13:30:00+00:00,2023-06-28 20:00:00+00:00
2023-06-29,2023-06-29 13:30:00+00:00,2023-06-29 20:00:00+00:00
2023-06-30,2023-06-30 13:30:00+00:00,2023-06-30 20:00:00+00:00
2023-07-03,2023-07-03 13:30:00+00:00,2023-07-03 17:00:00+00:00
2023-07-05,2023-07-05 13:30:00+00:00,2023-07-05 20:00:00+00:00
2023-07-06,2023-07-06 13:30:00+00:00,2023-07-06 20:00:00+00:00
2023-07-07,2023-07-07 13:30:00+00:00,2023-07-07 20:00:00+00:00
2023-07-10,2023-07-10 13:30:00+00:00,2023-07-10 20:00:00+00:00
2023-07-11,2023-07-11 13:30:00+00:00,2023-07-11 20:00:00+00:00
2023-07-12,2023-07-12 13:30:00+00:00,2023-07-12 20:00:00+00:00
2023-07-13,2023-07-13 13:30:00+00:00,2023-07-13 20:00:00+00:00
2023-07-14,2023-07-14 13:30:00+00:00,2023-07-14 20:00:00+00:00
2023-07-17,2023-07-17 13:30:00+00:00,2023-07-17 20:00:00+00:00
2023-07-18,2023-07-18 13:30:00+00:00,2023-07-18 20:00:00+00:00
2023-07-19,2023-07-19 13:30:00+00:00,2023-07-19 20:00:00+00:00
2023-07-20,2023-07-20 13:30:00+00:00,2023-07-20 20:00:00+00:00
2023-07-21,2023-07-21 13:30:00+00:00,2023-07-21 20:00:00+00:00
2023-07-24,2023-07-24 13:30:00+00:00,2023-07-24 20:00:00+00:00
2023-07-25,2023-07-25 13:30:00+00:00,2023-07-25 20:00:00+00:00
2023-07-26,2023-07-26 13:30:00+00:00,2023-07-26 20:00:00+00:00
2023-07-27,2023-07-27 13:30:00+00:00,2023-07-27 20:00:00+00:00
2023-07-28,2023-07-28 13:30:00+00:00,2023-07-28 20:00:00+00:00
2023-07-31,2023-07-31 13:30:00+00:00,2023-07-31 20:00:00+00:00
2023-08-01,2023-08-01 13:30:00+00:00,2023-08-01 20:00:00+00:00
2023-08-02,2023-08-02 13:30:00+00:00,2023-08-02 20:00:00+00:00
2023-08-03,2023-08-03 13:30:00+00:00,2023-08-03 20:00:00+00:00
2023-08-04,2023-08-04 13:30:00+00:00,2023-08-04 20:00:00+00:00
